Prawnno,PrawnID,GAV,Age,Class,Family ID,IntFamID
1,G1T1701_RD3_091_PL,7.55,Larval,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
2,G1T1701_RD3_083_PL,6.93,Larval,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
3,G1T1701_RD3_063_PL,7.08,Larval,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
4,G1T1701_RD3_051_PL,6.93,Larval,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
5,G1T1701_RD3_047_PL,7.54,Larval,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
6,G1T1701_RD3_045_PL,6.32,Larval,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
7,G1T1701_RD3_040_PL,7,Larval,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
8,G1T1701_RD3_037_PL,6.3,Larval,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
9,G1T1701_RD3_035_PL,7.17,Larval,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
10,G1T1701_RD3_034_PL,7.04,Larval,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
11,G1T1701_RD3_028_PL,6.13,Larval,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
12,G1T1701_RD3_018_PL,6.53,Larval,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
13,G1T1701_RD3_010_PL,6.29,Larval,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
14,G1T1701_RD3_005_PL,6.15,Larval,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
15,G1T1701_RD2_059_PL,7.01,Larval,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
16,G1T1701_RD2_052_PL,6.55,Larval,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
17,G1T1701_RD2_045_PL,5.57,Larval,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
18,G1T1701_RD2_030_PL,7.30,Larval,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
19,G1T1701_RD2_002_PL,7.38,Larval,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
20,G1T1701_157_001_H8_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
21,G1T1701_157_001_H6_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
22,G1T1701_157_001_H5_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
23,G1T1701_157_001_H4_G,1.63,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
24,G1T1701_157_001_H11_G,4.53,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
25,G1T1701_157_001_H1_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
26,G1T1701_157_001_G11_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
27,G1T1701_157_001_G1_G,1.91,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
28,G1T1701_157_001_F9_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
29,G1T1701_157_001_F7_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
30,G1T1701_157_001_F12_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
31,G1T1701_157_001_F10_G,1.43,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
32,G1T1701_157_001_F1_G,2.66,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
33,G1T1701_157_001_E9_G,3.11,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
34,G1T1701_157_001_E8_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
35,G1T1701_157_001_E5_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
36,G1T1701_157_001_E1_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
37,G1T1701_157_001_D6_G,1.3,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
38,G1T1701_157_001_D5_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
39,G1T1701_157_001_D1_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
40,G1T1701_157_001_C9_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
41,G1T1701_157_001_C8_G,1.69,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
42,G1T1701_157_001_C5_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
43,G1T1701_157_001_C4_G,1.57,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
44,G1T1701_157_001_C11_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
45,G1T1701_157_001_C10_G,1.36,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
46,G1T1701_157_001_B8_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
47,G1T1701_157_001_B5_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
48,G1T1701_157_001_B2_G,3.02,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
49,G1T1701_157_001_B11_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
50,G1T1701_157_001_B1_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
51,G1T1701_157_001_A6_G,1.88,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
52,G1T1701_157_001_A4_G,1.45,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
53,G1T1701_157_001_A2_G,3.95,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
54,G1T1701_156_001_H8_G,0.84,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
55,G1T1701_156_001_H6_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
56,G1T1701_156_001_H4_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
57,G1T1701_156_001_G9_G,0.95,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
58,G1T1701_156_001_G8_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
59,G1T1701_156_001_G6_G,0.87,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
60,G1T1701_156_001_F7_G,0.97,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
61,G1T1701_156_001_E11_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
62,G1T1701_156_001_D6_G,1.44,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
63,G1T1701_156_001_D4_G,3.25,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
64,G1T1701_156_001_C9_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
65,G1T1701_156_001_B8_G,1.12,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
66,G1T1701_156_001_B7_G,0.64,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
67,G1T1701_156_001_B6_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
68,G1T1701_156_001_B10_G,1.17,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
69,G1T1701_156_001_A7_G,1.29,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
70,G1T1701_156_001_A2_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
71,G1T1701_156_001_A12_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
72,G1T1701_156_001_A1_G,1.32,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
73,G1T1701_155_001_H10_G,0.96,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
74,G1T1701_155_001_F9_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
75,G1T1701_155_001_E4_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
76,G1T1701_155_001_D9_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
77,G1T1701_155_001_B10_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
78,G1T1701_152_001_G3_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
79,G1T1701_152_001_G11_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
80,G1T1701_152_001_F9_G,1.61,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
81,G1T1701_152_001_F4_P,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
82,G1T1701_152_001_F3_G,2.1,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
83,G1T1701_152_001_E3_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
84,G1T1701_152_001_E2_G,3.64,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
85,G1T1701_152_001_E12_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
86,G1T1701_152_001_D7_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
87,G1T1701_152_001_D6_G,1.88,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
88,G1T1701_152_001_D3_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
89,G1T1701_152_001_D2_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
90,G1T1701_152_001_C8_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
91,G1T1701_152_001_C2_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
92,G1T1701_152_001_B8_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
93,G1T1701_152_001_B6_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
94,G1T1701_152_001_B3_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
95,G1T1701_152_001_B12_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
96,G1T1701_152_001_B11_G,3.93,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
97,G1T1701_152_001_B10_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
98,G1T1701_152_001_A7_G,1.36,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
99,G1T1701_152_001_A6_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
100,G1T1701_152_001_A5_G,1.7,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
101,G1T1701_152_001_A12_G,4.03,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
102,G1T1701_150_005_G6_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
103,G1T1701_150_005_G1_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
104,G1T1701_150_005_E2_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
105,G1T1701_150_005_E1_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
106,G1T1701_150_005_D6_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
107,G1T1701_150_005_D5_G,2.27,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
108,G1T1701_150_005_C2_G,3.01,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
109,G1T1701_150_005_C12_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
110,G1T1701_150_005_B9_G,2.9,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
111,G1T1701_150_004_G7_G,3.64,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
112,G1T1701_150_004_G11_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
113,G1T1701_150_004_F7_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
114,G1T1701_150_004_E9_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
115,G1T1701_150_004_D8_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
116,G1T1701_150_004_D7_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
117,G1T1701_150_004_D12_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
118,G1T1701_150_004_D10_G,4.92,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
119,G1T1701_150_004_B5_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
120,G1T1701_150_004_B4_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
121,G1T1701_150_003_H6_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
122,G1T1701_150_003_H1_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
123,G1T1701_150_003_G9_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
124,G1T1701_150_003_G8_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
125,G1T1701_150_003_G11_G,2.86,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
126,G1T1701_150_003_F7_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
127,G1T1701_150_003_F6_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
128,G1T1701_150_003_E5_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
129,G1T1701_150_003_E10_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
130,G1T1701_150_003_D7_G,3.64,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
131,G1T1701_150_003_D3_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
132,G1T1701_150_003_D12_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
133,G1T1701_150_003_D11_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
134,G1T1701_150_003_C12_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
135,G1T1701_150_003_B9_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
136,G1T1701_150_003_B8_G,2.92,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
137,G1T1701_150_003_A7_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
138,G1T1701_150_002_G7_G,2.2,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
139,G1T1701_150_002_F7_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
140,G1T1701_150_002_F6_G,3.98,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
141,G1T1701_150_002_D8_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
142,G1T1701_150_002_C5_G,3.93,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
143,G1T1701_150_002_C12_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
144,G1T1701_150_002_C10_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
145,G1T1701_150_002_B12_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
146,G1T1701_150_002_A9_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
147,G1T1701_150_002_A7_G,4.27,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
148,G1T1701_150_002_A11_G,1.88,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
149,G1T1701_150_002_A10_G,2.45,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
150,G1T1701_150_001_H6_G,4.17,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
151,G1T1701_150_001_G2_G,1.14,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
152,G1T1701_150_001_G11_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
153,G1T1701_150_001_E3_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
154,G1T1701_150_001_D8_G,1.07,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
155,G1T1701_150_001_D2_G,1.33,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
156,G1T1701_150_001_D10_G,1.57,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
157,G1T1701_150_001_C6_G,1.79,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
158,G1T1701_150_001_C3_G,1.57,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
159,G1T1701_150_001_A8_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
160,G1T1701_149_005_H3_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
161,G1T1701_149_005_G2_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
162,G1T1701_149_005_G1_G,1.53,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
163,G1T1701_149_005_F11_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
164,G1T1701_149_005_F10_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
165,G1T1701_149_005_F1_G,4.62,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
166,G1T1701_149_005_C9_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
167,G1T1701_149_005_B9_G,1.64,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
168,G1T1701_149_005_B11_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
169,G1T1701_149_004_H9_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
170,G1T1701_149_004_H5_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
171,G1T1701_149_004_G6_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
172,G1T1701_149_004_G11_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
173,G1T1701_149_004_F3_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
174,G1T1701_149_004_E4_G,5.62,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
175,G1T1701_149_004_B4_G,2.62,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
176,G1T1701_149_003_H6_G,1.94,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
177,G1T1701_149_003_H5_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
178,G1T1701_149_003_G9_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
179,G1T1701_149_003_G7_G,2.43,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
180,G1T1701_149_003_G4_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
181,G1T1701_149_003_G11_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
182,G1T1701_149_003_G10_G,3.54,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
183,G1T1701_149_003_G1_G,2.18,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
184,G1T1701_149_003_F9_G,2.64,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
185,G1T1701_149_003_F7_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
186,G1T1701_149_003_F4_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
187,G1T1701_149_003_F1_G,1.17,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
188,G1T1701_149_003_E8_G,1.28,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
189,G1T1701_149_003_E4_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
190,G1T1701_149_003_E10_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
191,G1T1701_149_003_D2_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
192,G1T1701_149_003_D10_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
193,G1T1701_149_003_C9_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
194,G1T1701_149_003_C5_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
195,G1T1701_149_003_C10_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
196,G1T1701_149_003_B6_G,4.31,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
197,G1T1701_149_003_B11_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
198,G1T1701_149_003_A9_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
199,G1T1701_149_003_A11_G,1.34,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
200,G1T1701_149_002_H7_G,4.64,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
201,G1T1701_149_002_H5_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
202,G1T1701_149_002_H10_G,3.58,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
203,G1T1701_149_002_G8_G,2.37,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
204,G1T1701_149_002_G3_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
205,G1T1701_149_002_F8_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
206,G1T1701_149_002_E6_G,5.06,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
207,G1T1701_149_002_E12_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
208,G1T1701_149_002_D8_G,2.27,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
209,G1T1701_149_002_D4_G,3.49,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
210,G1T1701_149_002_D12_G,2.09,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
211,G1T1701_149_002_B5_G,2.81,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
212,G1T1701_149_002_B4_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
213,G1T1701_149_002_B2_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
214,G1T1701_149_002_A7_G,6.53,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
215,G1T1701_149_002_A6_G,4.42,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
216,G1T1701_149_002_A4_G,2.06,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
217,G1T1701_149_002_A2_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
218,G1T1701_149_001_G1_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
219,G1T1701_149_001_F6_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
220,G1T1701_149_001_D7_G,1.4,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
221,G1T1701_149_001_C9_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
222,G1T1701_149_001_C7_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
223,G1T1701_149_001_C4_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
224,G1T1701_149_001_C3_G,1.65,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
225,G1T1701_149_001_B6_G,2.52,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
226,G1T1701_149_001_B11_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
227,G1T1701_149_001_A7_G,0,Pond,Offspring,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
228,G1T1701_BR_131_M,0,broodstock,Mother,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
229,G1T1701_BR_262_MP,6.03,broodstock,Father,G1T1701_BR_131_M__G1T1701_BR_262_MP,1
