 ID,GAV,Family ID,Class
G1T1701_149_001_A7_G,NA,1,Offspring
G1T1701_149_001_B11_G,NA,1,Offspring
G1T1701_149_001_B6_G,3.31E+02,1,Offspring
G1T1701_149_001_C3_G,4.47E+01,1,Offspring
G1T1701_149_001_C4_G,NA,1,Offspring
G1T1701_149_001_C7_G,NA,1,Offspring
G1T1701_149_001_C9_G,NA,1,Offspring
G1T1701_149_001_D7_G,2.53E+01,1,Offspring
G1T1701_149_001_F6_G,NA,1,Offspring
G1T1701_149_001_G1_G,NA,1,Offspring
G1T1701_149_002_A2_G,NA,1,Offspring
G1T1701_149_002_A4_G,1.14E+02,1,Offspring
G1T1701_149_002_A6_G,2.65E+04,1,Offspring
G1T1701_149_002_A7_G,3.36E+06,1,Offspring
G1T1701_149_002_B2_G,NA,1,Offspring
G1T1701_149_002_B4_G,NA,1,Offspring
G1T1701_149_002_B5_G,6.39E+02,1,Offspring
G1T1701_149_002_D12_G,1.24E+02,1,Offspring
G1T1701_149_002_D4_G,3.06E+03,1,Offspring
G1T1701_149_002_D8_G,1.86E+02,1,Offspring
G1T1701_149_002_E12_G,NA,1,Offspring
G1T1701_149_002_E6_G,1.16E+05,1,Offspring
G1T1701_149_002_F8_G,NA,1,Offspring
G1T1701_149_002_G3_G,NA,1,Offspring
G1T1701_149_002_G8_G,2.35E+02,1,Offspring
G1T1701_149_002_H10_G,3.83E+03,1,Offspring
G1T1701_149_002_H5_G,NA,1,Offspring
G1T1701_149_002_H7_G,4.41E+04,1,Offspring
G1T1701_149_003_A11_G,2.18E+01,1,Offspring
G1T1701_149_003_A9_G,NA,1,Offspring
G1T1701_149_003_B11_G,NA,1,Offspring
G1T1701_149_003_B6_G,2.06E+04,1,Offspring
G1T1701_149_003_C10_G,NA,1,Offspring
G1T1701_149_003_C5_G,NA,1,Offspring
G1T1701_149_003_C9_G,NA,1,Offspring
G1T1701_149_003_D10_G,NA,1,Offspring
G1T1701_149_003_D2_G,NA,1,Offspring
G1T1701_149_003_E10_G,NA,1,Offspring
G1T1701_149_003_E4_G,NA,1,Offspring
G1T1701_149_003_E8_G,1.92E+01,1,Offspring
G1T1701_149_003_F1_G,1.47E+01,1,Offspring
G1T1701_149_003_F4_G,NA,1,Offspring
G1T1701_149_003_F7_G,NA,1,Offspring
G1T1701_149_003_F9_G,4.39E+02,1,Offspring
G1T1701_149_003_G1_G,1.53E+02,1,Offspring
G1T1701_149_003_G10_G,3.44E+03,1,Offspring
G1T1701_149_003_G11_G,NA,1,Offspring
G1T1701_149_003_G4_G,NA,1,Offspring
G1T1701_149_003_G7_G,2.68E+02,1,Offspring
G1T1701_149_003_G9_G,NA,1,Offspring
G1T1701_149_003_H5_G,NA,1,Offspring
G1T1701_149_003_H6_G,8.70E+01,1,Offspring
G1T1701_149_004_B4_G,4.18E+02,1,Offspring
G1T1701_149_004_E4_G,4.17E+05,1,Offspring
G1T1701_149_004_F3_G,NA,1,Offspring
G1T1701_149_004_G11_G,NA,1,Offspring
G1T1701_149_004_G6_G,NA,1,Offspring
G1T1701_149_004_H5_G,NA,1,Offspring
G1T1701_149_004_H9_G,NA,1,Offspring
G1T1701_149_005_B11_G,NA,1,Offspring
G1T1701_149_005_B9_G,4.34E+01,1,Offspring
G1T1701_149_005_C9_G,NA,1,Offspring
G1T1701_149_005_F1_G,4.16E+04,1,Offspring
G1T1701_149_005_F10_G,NA,1,Offspring
G1T1701_149_005_F11_G,NA,1,Offspring
G1T1701_149_005_G1_G,3.38E+01,1,Offspring
G1T1701_149_005_G2_G,NA,1,Offspring
G1T1701_149_005_H3_G,NA,1,Offspring
G1T1701_149_001_A10_G,NA,2,Offspring
G1T1701_149_001_A5_G,NA,2,Offspring
G1T1701_149_001_A8_G,183.49,2,Offspring
G1T1701_149_001_A9_G,24.45,2,Offspring
G1T1701_149_001_E12_G,NA,2,Offspring
G1T1701_149_001_F3_G,NA,2,Offspring
G1T1701_149_001_H6_G,NA,2,Offspring
G1T1701_149_002_B11_G,NA,2,Offspring
G1T1701_149_002_F3_G,91181.51,2,Offspring
G1T1701_149_003_A3_G,NA,2,Offspring
G1T1701_149_003_A7_G,NA,2,Offspring
G1T1701_149_003_B1_G,NA,2,Offspring
G1T1701_149_003_B12_G,23,2,Offspring
G1T1701_149_003_B7_G,NA,2,Offspring
G1T1701_149_003_C8_G,96.86,2,Offspring
G1T1701_149_003_D8_G,NA,2,Offspring
G1T1701_149_003_E2_G,NA,2,Offspring
G1T1701_149_003_E7_G,1109.31,2,Offspring
G1T1701_149_003_F11_G,NA,2,Offspring
G1T1701_149_004_A8_G,NA,2,Offspring
G1T1701_149_004_B11_G,NA,2,Offspring
G1T1701_149_004_B8_G,NA,2,Offspring
G1T1701_149_004_C7_G,NA,2,Offspring
G1T1701_149_004_C9_G,NA,2,Offspring
G1T1701_149_004_D5_G,NA,2,Offspring
G1T1701_149_004_F8_G,NA,2,Offspring
G1T1701_149_005_A9_G,87.22,2,Offspring
G1T1701_149_005_B10_G,NA,2,Offspring
G1T1701_149_005_B6_G,NA,2,Offspring
G1T1701_149_005_B8_G,22.55,2,Offspring
G1T1701_149_005_D10_G,NA,2,Offspring
G1T1701_149_001_A1_G,NA,3,Offspring
G1T1701_149_001_F5_G,NA,3,Offspring
G1T1701_149_001_F7_G,NA,3,Offspring
G1T1701_149_001_G7_G,NA,3,Offspring
G1T1701_149_001_H1_G,NA,3,Offspring
G1T1701_149_002_A1_G,371.21,3,Offspring
G1T1701_149_002_A12_G,160.34,3,Offspring
G1T1701_149_002_F5_G,422247.85,3,Offspring
G1T1701_149_002_G10_G,5249.95,3,Offspring
G1T1701_149_003_C1_G,14.1,3,Offspring
G1T1701_149_003_D5_G,NA,3,Offspring
G1T1701_149_004_B5_G,NA,3,Offspring
G1T1701_149_004_C4_G,175.44,3,Offspring
G1T1701_149_004_D8_G,NA,3,Offspring
G1T1701_149_004_E8_G,NA,3,Offspring
G1T1701_149_004_F10_G,NA,3,Offspring
G1T1701_149_004_F11_G,NA,3,Offspring
G1T1701_149_004_G4_G,11318.21,3,Offspring
G1T1701_149_005_C12_G,5803.29,3,Offspring
G1T1701_149_005_C8_G,NA,3,Offspring
G1T1701_149_005_D12_G,NA,3,Offspring
G1T1701_149_005_D7_G,NA,3,Offspring
G1T1701_149_005_E4_G,189504.14,3,Offspring
G1T1701_149_005_F3_G,NA,3,Offspring
G1T1701_149_005_H8_G,669.83,3,Offspring
G1T1701_149_005_H9_G,676.6,3,Offspring
G1T1701_149_001_A11_G,1753.74,4,Offspring
G1T1701_149_001_A6_G,238.02,4,Offspring
G1T1701_149_001_F2_G,121.89,4,Offspring
G1T1701_149_001_G4_G,NA,4,Offspring
G1T1701_149_001_H10_G,59351.97,4,Offspring
G1T1701_149_002_A8_G,NA,4,Offspring
G1T1701_149_002_A9_G,282.81,4,Offspring
G1T1701_149_002_B1_G,740.76,4,Offspring
G1T1701_149_002_E10_G,542.76,4,Offspring
G1T1701_149_002_E3_G,304.47,4,Offspring
G1T1701_149_003_A2_G,NA,4,Offspring
G1T1701_149_003_B10_G,68.71,4,Offspring
G1T1701_149_003_D3_G,NA,4,Offspring
G1T1701_149_003_E12_G,NA,4,Offspring
G1T1701_149_004_C3_G,NA,4,Offspring
G1T1701_149_004_F9_G,NA,4,Offspring
G1T1701_149_005_D2_G,962.95,4,Offspring
G1T1701_149_005_E11_G,NA,4,Offspring
G1T1701_149_005_G6_G,NA,4,Offspring
G1T1701_149_001_B10_G,15.96,5,Offspring
G1T1701_149_001_C10_G,98.16,5,Offspring
G1T1701_149_001_D5_G,28.24,5,Offspring
G1T1701_149_002_F10_G,NA,5,Offspring
G1T1701_149_002_H1_G,595667.77,5,Offspring
G1T1701_149_003_F6_G,NA,5,Offspring
G1T1701_149_003_G3_G,NA,5,Offspring
G1T1701_149_003_H11_G,6852.2,5,Offspring
G1T1701_149_004_C11_G,NA,5,Offspring
G1T1701_149_004_D12_G,NA,5,Offspring
G1T1701_149_004_D6_G,NA,5,Offspring
G1T1701_149_004_E2_G,NA,5,Offspring
G1T1701_149_004_F12_G,NA,5,Offspring
G1T1701_149_004_G3_G,22632.26,5,Offspring
G1T1701_149_005_D3_G,22804.61,5,Offspring
G1T1701_149_005_E1_G,13133.63,5,Offspring
G1T1701_149_005_F8_G,NA,5,Offspring
G1T1701_149_005_G3_G,23142.36,5,Offspring
G1T1701_149_001_A3_G,NA,6,Offspring
G1T1701_149_001_B2_G,11.63,6,Offspring
G1T1701_149_001_D9_G,NA,6,Offspring
G1T1701_149_001_F1_G,NA,6,Offspring
G1T1701_149_002_A5_G,NA,6,Offspring
G1T1701_149_002_B8_G,147.99,6,Offspring
G1T1701_149_002_D1_G,112.26,6,Offspring
G1T1701_149_002_E11_G,NA,6,Offspring
G1T1701_149_002_F9_G,NA,6,Offspring
G1T1701_149_002_G5_G,1235.16,6,Offspring
G1T1701_149_003_D11_G,NA,6,Offspring
G1T1701_149_003_F10_G,NA,6,Offspring
G1T1701_149_004_B2_G,NA,6,Offspring
G1T1701_149_004_D9_G,NA,6,Offspring
G1T1701_149_005_A1_G,NA,6,Offspring
G1T1701_149_005_E12_G,NA,6,Offspring
G1T1701_149_001_E6_G,283.9,7,Offspring
G1T1701_149_001_F8_G,25.61,7,Offspring
G1T1701_149_001_F9_G,NA,7,Offspring
G1T1701_149_002_C1_G,NA,7,Offspring
G1T1701_149_002_C3_G,1001329.61,7,Offspring
G1T1701_149_002_C7_G,896.25,7,Offspring
G1T1701_149_002_C8_G,NA,7,Offspring
G1T1701_149_002_D3_G,1.05E+03,7,Offspring
G1T1701_149_002_D9_G,NA,7,Offspring
G1T1701_149_002_G11_G,1.27E+02,7,Offspring
G1T1701_149_004_D1_G,NA,7,Offspring
G1T1701_149_004_D4_G,NA,7,Offspring
G1T1701_149_004_E11_G,NA,7,Offspring
G1T1701_149_005_F4_G,NA,7,Offspring
G1T1701_149_001_A12_G,525.89,8,Offspring
G1T1701_149_001_C6_G,NA,8,Offspring
G1T1701_149_001_D10_G,27.64,8,Offspring
G1T1701_149_001_H8_G,NA,8,Offspring
G1T1701_149_002_B12_G,391.14,8,Offspring
G1T1701_149_002_D5_G,149.73,8,Offspring
G1T1701_149_002_E9_G,NA,8,Offspring
G1T1701_149_003_D9_G,NA,8,Offspring
G1T1701_149_004_A12_G,NA,8,Offspring
G1T1701_149_004_C2_G,1133.78,8,Offspring
G1T1701_149_004_D7_G,NA,8,Offspring
G1T1701_149_005_F12_G,201.56,8,Offspring
G1T1701_149_005_H6_G,154084.62,8,Offspring
G1T1701_149_001_D11_G,8.93E+01,9,Offspring
G1T1701_149_001_G11_G,NA,9,Offspring
G1T1701_149_002_C5_G,NA,9,Offspring
G1T1701_149_003_A8_G,5.24E+01,9,Offspring
G1T1701_149_003_E9_G,3.37E+01,9,Offspring
G1T1701_149_004_A1_G,NA,9,Offspring
G1T1701_149_004_A9_G,NA,9,Offspring
G1T1701_149_004_B9_G,NA,9,Offspring
G1T1701_149_004_H11_G,NA,9,Offspring
G1T1701_149_005_C4_G,NA,9,Offspring
G1T1701_149_005_D5_G,NA,9,Offspring
G1T1701_149_005_H10_G,7.31E+01,9,Offspring
G1T1701_149_005_H11_G,5.24E+01,9,Offspring
G1T1701_149_001_D12_G,1.30E+05,10,Offspring
G1T1701_149_001_H4_G,1.07E+01,10,Offspring
G1T1701_149_002_A10_G,9.99E+01,10,Offspring
G1T1701_149_002_F4_G,5.57E+05,10,Offspring
G1T1701_149_002_G1_G,3.52E+02,10,Offspring
G1T1701_149_003_B3_G,NA,10,Offspring
G1T1701_149_003_E11_G,NA,10,Offspring
G1T1701_149_003_E3_G,NA,10,Offspring
G1T1701_149_003_H7_G,4.88E+01,10,Offspring
G1T1701_149_004_A3_G,NA,10,Offspring
G1T1701_149_004_E6_G,NA,10,Offspring
G1T1701_149_004_G1_G,NA,10,Offspring
G1T1701_149_005_D4_G,2.41E+04,10,Offspring
G1T1701_149_001_A2_G,NA,11,Offspring
G1T1701_149_001_D1_G,9601,11,Offspring
G1T1701_149_002_B10_G,134837.66,11,Offspring
G1T1701_149_002_B7_G,79650.92,11,Offspring
G1T1701_149_002_D7_G,33469.44,11,Offspring
G1T1701_149_003_H1_G,75.34,11,Offspring
G1T1701_149_004_C8_G,NA,11,Offspring
G1T1701_149_004_D11_G,NA,11,Offspring
G1T1701_149_004_D2_G,142640.78,11,Offspring
G1T1701_149_004_E10_G,NA,11,Offspring
G1T1701_149_005_B1_G,21852.07,11,Offspring
G1T1701_149_005_C7_G,5943.18,11,Offspring
G1T1701_149_001_E2_G,15.85,12,Offspring
G1T1701_149_001_F11_G,30.92,12,Offspring
G1T1701_149_001_H11_G,NA,12,Offspring
G1T1701_149_002_C2_G,NA,12,Offspring
G1T1701_149_002_F12_G,817.41,12,Offspring
G1T1701_149_003_C12_G,NA,12,Offspring
G1T1701_149_003_D6_G,NA,12,Offspring
G1T1701_149_003_G5_G,NA,12,Offspring
G1T1701_149_005_A3_G,59.33,12,Offspring
G1T1701_149_005_F5_G,NA,12,Offspring
G1T1701_149_005_G8_G,67.62,12,Offspring
G1T1701_149_005_G9_G,84.85,12,Offspring
G1T1701_149_001_C11_G,85.65,13,Offspring
G1T1701_149_001_G10_G,105.2,13,Offspring
G1T1701_149_001_G9_G,15029.28,13,Offspring
G1T1701_149_002_A3_G,337948.16,13,Offspring
G1T1701_149_002_E5_G,1300.45,13,Offspring
G1T1701_149_002_H11_G,257.85,13,Offspring
G1T1701_149_003_B5_G,3395.97,13,Offspring
G1T1701_149_003_E6_G,60.12,13,Offspring
G1T1701_149_003_F12_G,847.24,13,Offspring
G1T1701_149_004_A7_G,NA,13,Offspring
G1T1701_149_005_F2_G,206.03,13,Offspring
G1T1701_149_001_C1_G,7575.16,14,Offspring
G1T1701_149_001_E3_G,NA,14,Offspring
G1T1701_149_002_F11_G,NA,14,Offspring
G1T1701_149_003_A12_G,NA,14,Offspring
G1T1701_149_003_A5_G,NA,14,Offspring
G1T1701_149_004_G2_G,NA,14,Offspring
G1T1701_149_004_G8_G,NA,14,Offspring
G1T1701_149_005_C1_G,32.66,14,Offspring
G1T1701_149_005_C3_G,36.87,14,Offspring
G1T1701_149_005_E9_G,91750,14,Offspring
G1T1701_149_005_G4_G,NA,14,Offspring
G1T1701_149_001_B4_G,4.62E+04,15,Offspring
G1T1701_149_001_G2_G,2.56E+03,15,Offspring
G1T1701_149_002_A11_G,2.14E+02,15,Offspring
G1T1701_149_002_E8_G,3.45E+02,15,Offspring
G1T1701_149_002_F1_G,3.31E+02,15,Offspring
G1T1701_149_003_F2_G,2.23E+04,15,Offspring
G1T1701_149_003_F5_G,NA,15,Offspring
G1T1701_149_005_G10_G,1.22E+05,15,Offspring
G1T1701_149_005_G11_G,4.51E+05,15,Offspring
G1T1701_149_001_B1_G,NA,16,Offspring
G1T1701_149_001_B5_G,13.77,16,Offspring
G1T1701_149_001_D3_G,NA,16,Offspring
G1T1701_149_001_H7_G,191.71,16,Offspring
G1T1701_149_002_B9_G,5289.65,16,Offspring
G1T1701_149_005_A12_G,53.31,16,Offspring
G1T1701_149_005_A5_G,NA,16,Offspring
G1T1701_149_005_F6_G,NA,16,Offspring
G1T1701_149_001_B7_G,NA,17,Offspring
G1T1701_149_001_C5_G,NA,17,Offspring
G1T1701_149_003_H8_G,NA,17,Offspring
G1T1701_149_004_B12_G,NA,17,Offspring
G1T1701_149_004_D10_G,NA,17,Offspring
G1T1701_149_004_E9_G,NA,17,Offspring
G1T1701_149_005_H1_G,5.67E+01,17,Offspring
G1T1701_149_001_F12_G,47.77,18,Offspring
G1T1701_149_003_C3_G,NA,18,Offspring
G1T1701_149_004_H6_G,NA,18,Offspring
G1T1701_149_005_A2_G,NA,18,Offspring
G1T1701_149_005_D11_G,146.78,18,Offspring
G1T1701_149_005_E7_G,NA,18,Offspring
G1T1701_149_005_F7_G,NA,18,Offspring
G1T1701_149_001_H3_G,2.89E+01,19,Offspring
G1T1701_149_002_G4_G,NA,19,Offspring
G1T1701_149_004_A4_G,NA,19,Offspring
G1T1701_149_004_B6_G,NA,19,Offspring
G1T1701_149_004_H3_G,9.12E+01,19,Offspring
G1T1701_149_005_A4_G,1.38E+03,19,Offspring
G1T1701_149_001_C12_G,17.83,20,Offspring
G1T1701_149_001_H2_G,37.05,20,Offspring
G1T1701_149_004_E1_G,63083.33,20,Offspring
G1T1701_149_004_F6_G,NA,20,Offspring
G1T1701_149_004_G10_G,NA,20,Offspring
G1T1701_149_002_E4_G,NA,21,Offspring
G1T1701_149_003_G8_G,NA,21,Offspring
G1T1701_149_004_A11_G,NA,21,Offspring
G1T1701_149_004_B10_G,NA,21,Offspring
G1T1701_149_005_E6_G,NA,21,Offspring
G1T1701_149_001_E5_G,4.74E+04,22,Offspring
G1T1701_149_001_E9_G,2.34E+04,22,Offspring
G1T1701_149_002_B6_G,3.39E+02,22,Offspring
G1T1701_149_002_D10_G,2.97E+02,22,Offspring
G1T1701_149_005_E3_G,3.55E+01,22,Offspring
G1T1701_149_003_C11_G,NA,23,Offspring
G1T1701_149_004_H1_G,NA,23,Offspring
G1T1701_149_005_B3_G,NA,23,Offspring
G1T1701_149_005_B4_G,NA,23,Offspring
G1T1701_149_001_B12_G,NA,24,Offspring
G1T1701_149_001_C8_G,10.72,24,Offspring
G1T1701_149_003_C7_G,3334.14,24,Offspring
G1T1701_149_003_D1_G,5843.47,24,Offspring
G1T1701_149_002_G6_G,2.43E+02,25,Offspring
G1T1701_149_003_A4_G,NA,25,Offspring
G1T1701_149_003_B4_G,1.80E+03,25,Offspring
G1T1701_149_004_A2_G,NA,25,Offspring
G1T1701_149_001_E8_G,1.49E+04,26,Offspring
G1T1701_149_003_H9_G,4.49E+01,26,Offspring
G1T1701_149_005_A11_G,NA,26,Offspring
G1T1701_149_004_E3_G,NA,27,Offspring
G1T1701_149_005_C5_G,3.73E+01,27,Offspring
G1T1701_149_001_H5_G,NA,28,Offspring
G1T1701_149_003_C2_G,NA,28,Offspring
G1T1701_149_004_H8_G,NA,29,Offspring
G1T1701_149_005_C10_G,1.75E+01,29,Offspring
G1T1701_149_004_E12_G,NA,30,Offspring
G1T1701_149_003_H2_G,NA,31,Offspring
G1T1701_149_003_C6_G,NA,32,Offspring
G1T1701_149_005_C6_G,3.58E+01,33,Offspring
G1T1701_149_005_F9_G,NA,34,Offspring
G1T1701_149_005_D9_G,3.01E+03,35,Offspring
G1T1701_149_004_F4_G,NA,36,Offspring
G1T1701_BR_131_M,2.26E+04,1,Dam
G1T1701_BR_182_MP,4.78E+07,2,Dam
G1T1701_BR_139_MP,2.34E+08,3,Dam
G1T1701_BR_048_P,1.45E+05,4,Dam
G1T1701_BR_360_MP,NA,5,Dam
G1T1701_BR_053_GP,6.02E+04,6,Dam
G1T1701_BR_113_MP,1.96E+06,7,Dam
G1T1701_BR_049_GP,NA,8,Dam
G1T1701_BR_067_GP,2.10E+05,9,Dam
G1T1701_BR_182_MP,4.78E+07,10,Dam
G1T1701_BR_119_MP,NA,11,Dam
G1T1701_BR_166_MP,NA,12,Dam
G1T1701_BR_048_P,1.45E+05,13,Dam
G1T1701_BR_053_GP,6.02E+04,14,Dam
G1T1701_BR_068_P,1.39E+08,15,Dam
G1T1701_BR_112_MP,1.51E+05,16,Dam
G1T1701_BR_067_GP,2.10E+05,17,Dam
G1T1701_BR_119_MP,NA,18,Dam
G1T1701_BR_134_MP,9.23E+05,19,Dam
G1T1701_BR_049_GP,NA,20,Dam
G1T1701_BR_064_P,3.19E+03,21,Dam
G1T1701_BR_360_MP,NA,22,Dam
G1T1701_BR_064_P,3.19E+03,23,Dam
G1T1701_BR_103_MP,2.20E+05,24,Dam
G1T1701_BR_159_MP,1.57E+07,25,Dam
G1T1701_BR_401_MP,1.58E+06,26,Dam
G1T1701_BR_090_M,1.08E+06,27,Dam
G1T1701_BR_123_MP,NA,28,Dam
G1T1701_BR_461_P,1.98E+04,29,Dam
G1T1701_BR_052_P,1.32E+05,30,Dam
G1T1701_BR_113_MP,1.96E+06,31,Dam
G1T1701_BR_123_MP,NA,32,Dam
G1T1701_BR_170_MP,NA,33,Dam
G1T1701_BR_211_MP,6.44E+07,34,Dam
G1T1701_BR_386_MP,1.45E+04,35,Dam
G1T1701_BR_401_MP,1.58E+06,36,Dam
G1T1701_BR_262_MP,1.07E+06,1,Sire
G1T1701_BR_023_P,3.03E+03,2,Sire
G1T1701_BR_042_P,1.19E+04,3,Sire
G1T1701_BR_002_P,2.25E+03,4,Sire
G1T1701_BR_318_MP,1.71E+05,5,Sire
G1T1701_BR_006_P,2.98E+03,6,Sire
G1T1701_BR_262_MP,1.07E+06,7,Sire
G1T1701_BR_003_P,2.32E+03,8,Sire
G1T1701_BR_037_P,1.99E+03,9,Sire
G1T1701_BR_024_P,9.56E+03,10,Sire
G1T1701_BR_324_MP,4.61E+04,11,Sire
G1T1701_BR_263_MP,NA,12,Sire
G1T1701_BR_001_P,4.43E+03,13,Sire
G1T1701_BR_005_P,NA,14,Sire
G1T1701_BR_017_P,NA,15,Sire
G1T1701_BR_002_P,2.25E+03,16,Sire
G1T1701_BR_038_P,2.63E+03,17,Sire
G1T1701_BR_015_P,8.81E+04,18,Sire
G1T1701_BR_444_MP,2.08E+05,19,Sire
G1T1701_BR_001_P,4.43E+03,20,Sire
G1T1701_BR_033_P,5.56E+03,21,Sire
G1T1701_BR_372_MP,1.49E+06,22,Sire
G1T1701_BR_031_P,6.60E+03,23,Sire
G1T1701_BR_014_P,3.91E+03,24,Sire
G1T1701_BR_444_MP,2.08E+05,25,Sire
G1T1701_BR_025_P,5.92E+03,26,Sire
G1T1701_BR_022_P,2.46E+03,27,Sire
G1T1701_BR_251_MP,2.66E+06,28,Sire
G1T1701_BR_041_P,NA,29,Sire
G1T1701_BR_007_P,1.26E+04,30,Sire
G1T1701_BR_372_MP,1.49E+06,31,Sire
G1T1701_BR_441_MP,7.62E+05,32,Sire
G1T1701_BR_041_P,NA,33,Sire
G1T1701_BR_428_MP,2.83E+05,34,Sire
G1T1701_BR_372_MP,1.49E+06,35,Sire
G1T1701_BR_450_MP,7.04E+03,36,Sire
